,,,,
"Cawaco Resource Conservation & Development Council, Inc.",Cool Green Solutions,"$3,571,064",,
City of Montgomery*,"Equitable Urban Tree Canopy Enhancement for Underserved Populations in Montgomery, Alabama","$1,000,000",,
Forest Workforce Training Institute,"Planting Trees, Building Capacity, and Engaging Students in Disadvantaged Communities","$5,000,000",,
,,,,
Alaska Village Initiatives,Wooch een yéi jidané: Alaska Native Community Forest Program:,"$2,000,000",,
Anchorage Park Foundation,"Community Reforestation in Anchorage, Alaska:","$2,000,000",,
Metlakatla Indian Community,Community Food Forest on Annette Islands Reserve:,"$105,244",,
"Rural Alaska Community Action Program, Inc., (RurAL CAP)",RurAL CAP GROW Forestry Project:,"$1,000,000",,
,,,,
Arizona State University,Greater Phoenix Urban Forestry Accelerator:,"$5,000,000",,
City of Chandler*,"Planting for Livability in the Desert Environment:  Growing the Urban Forest in Chandler, Arizona:","$767,000",,
City of Mesa*,Trees Are Cool:,"$824,900",,
City of Peoria*,Peoria Arizona Community Forestry Program:,"$200,000",,
City of Phoenix,Roots of Phoenix:,"$10,000,000",,
City of Tucson,"Grow Tucson: A Community-Led Urban Forestry Proposal in Tucson, Arizona:","$5,000,000",,
Community Food Bank of Southern Arizona*,"SOMBRA in the Desert: climate resilience, shade equity, and food security in Southern Arizona:","$401,087",,
,,,,
Arkansas Human Development Corporation,Pathways to the Future Program Proposal (UCF-PTF):,"$1,563,071",,
Watershed Conservation Resource Center,"Connecting Community to Urban Streams and Forests in a Low-Income Neighborhood at Walker Park, Fayetteville, AR.:","$2,674,100",,
,,,,
California State University Northridge,Tree Planting in Disadvantaged Los Angeles Neighborhoods,:,"$5,000,000",
City of Azusa,Community Canopy: Nurturing Climate Resilience in Disadvantaged Neighborhoods through Urban Forestry:,"$2,000,000",,
City of Bellflower*,Bellflower Urban Forestry Management Plan & Tree Planting and Maintenance:,"$1,000,000",,
City of Berkeley*,Trees Make Life Better:,"$1,000,000",,
City of Carson*,The City of Carson's Urban Forestry Master Plan:,"$1,000,000",,
City of Chula Vista*,Chula Vista Urban Forest Tree Inventory and Forest Management Plan:,"$500,000",,
City of Concord*,Concord Urban & Community Forestry Program:,"$1,000,000",,
City of Corona*,City of Corona Urban and Community Forestry:,"$100,000",,
City of El Cajon*,Parkway Tree Installation and Maintenance in Disadvantaged Areas:,"$834,965",,
City of Escondido*,City of Escondido Urban Forestry Management Program:,"$665,500",,
City of Fremont*,Reforestation of Fremont's DACs and Community Urban Forestry Trainings:,"$383,472",,
City of Glendale*,Glendale Canopy Improvement:,"$100,000",,
City of Goleta*,"City of Goleta, California Urban Forest Climate Adaptation Project:","$1,000,000",,
City of Hanford*,Hanford Goes Green:,"$1,000,000",,
City of Hayward*,COH Urban Forestry Software and Hazardous Tree Removal/Replacement:,"$500,000",,
City of Laguna Beach*,Seed Funding for Urban Tree Canopy Management and Analytical Resources,:,"$100,000",
City of Long Beach,Growing a Climate Resilient Long Beach: A Community Based Approach to Urban Forestry and Rainwater Harvesting:,"$1,000,000",,
City of Los Angeles - Bureau of Sanitation,BeLeaf in Equity:,"$3,000,000",,
City of Oakland*,Oakland: Equity through Urban Forestry:,"$8,000,000",,
City of Oxnard*,Oxnard Urban Forestry - North Oxnard:,"$333,502",,
City of Oxnard,Oxnard Urban Forestry - South Oxnard:,"$651,423",,
City of Petaluma,Petaluma Canopy:,"$1,000,000",,
City of Pittsburg,Pittsburg Urban Forest Management Launch:,"$2,000,000",,
City of Riverside,Community & Forestry Resiliency:,"$1,000,000",,
City of Sacramento*,City of Sacramento's Equitable and Resilient Urban Forest Program:,"$1,000,000",,
City of San Diego,"Ready, Set, Grow San Diego:","$10,000,000",,
City of San Jose*,Alum Rock and Overfelt Gardens Urban Forest Management:,"$1,000,000",,
City of San Jose,City of San Jose Community Forest Investment Project:,"$5,644,300",,
City of Santa Ana,City of Santa Ana Urban Forest Reforestation Project:,"$1,023,000",,
City of Santa Cruz*,"Expanding Tree Canopy, Improving Tree Care, and Growing Community Capacity in Santa Cruz, California:","$1,000,000",,
City of Signal Hill*,City of Signal Hill Street Tree Planting Program Plan:,"$1,000,000",,
City of Vallejo,Waterfront Revival:,"$1,734,070",,
City of Vista,N. Santa Fe Corridor Vista CA Landscaping and Irrigation Project:,"$1,593,798",,
City of Walnut Creek*,City of Walnut Creek Urban & Community Forestry 2023:,"$100,000",,
"City/County of San Francisco, Recreation and Parks Department",Climate and Economic Justice in Southeast San Francisco Project:,"$2,000,000",,
Housing Authority City of Los Angeles,Greening Watts:,"$5,000,000",,
Los Angeles County Public Works,Early Action Implementation for LA County Urban Forest Management Plan:,"$8,000,000",,
Napa County Resource Conservation District,Our Napa Forests: Growing an Equitable Tree Canopy Through Cross-Jurisdictional Collaboration:,"$1,560,761",,
San Francisco Public Works - Bureau of Urban Forestry,"Justice, Jobs and Trees: A San Francisco Climate Solution:","$12,000,000",,
Tree San Diego,San Diego Regional Plan and Plant Project:,"$2,000,000",,
TreePeople,From Redlining to Greenlining: Planting Justice in SoCal:,"$8,000,000",,
